内容,标签
进BIOS，configuration 改成IDE接口就行！ 散热不好！太热了，建议价钱或者少出点钱购买其他款机器！,2
导航建容易误操作接听电话杂音大，音乐外放杂音也大不如买个好点的MP3去键盘太密，编短信不方便后悔，太贵,0
"可能是女孩子的原因吧,价格偏贵,还没有达到效果",0
怎么看下去会一段后故事还没结束，又说了其他事，后又接上前段事。有时另我一塌胡涂，要看前段说了什么，才接下去看。是不是印刷错了啊？,0
在4535G-722G25Mn与这款两者之间挑了比较长时间，当时两者都是3999，最后还是决定要了这款，看中它是Intel平台，性能好些，而且DDR3内存也是未来的趋势，又多个内置摄像头，而且多送100京券。,2
外观不错~   还没发现什么明显的毛病 不开机看邮件这个有点意思,2
铃声超大，电池待机长，可达7天，用了十个月，没坏过,2
光盘发现有裂痕，无法使用，已联系当当客服中心申请换货，应该是14号连同书一起寄回当当客户部的，但到现在还没消息，请当当确认尽快发货,1
这个酒店很一般！甚至说不好！就有一点离“红门”很近，徒步爬泰山比较方便，但做车上泰山不方便，服务有好有坏，第一天凌晨到宾馆寄存东西，我跑了三趟拿东西，打搅服务员三次睡觉，但并没有不悦的表情，感觉很好！但晚上住在宾馆我提出用一下公用电脑到些照片，另外一个服务员，用话搪塞我！有点不高兴！其他宾馆都有公用电脑满足来宾的上网或倒照片的需要，他们却搪塞！很失望！还有宾馆的被子感觉不是很干净，还摆了些乱七八糟的东西（都是收费的），还有避孕套和男女洗液，很是搞笑！（当然这些都收费）！害的我牙刷都没敢用他们的，不是怕付钱而是怕脏！o(∩_∩)o...不过话说回来携程在泰安找的宾馆都不怎么样！,1
看这本书的时候，正是自己空前绝后的崩溃当中，看完给了自己很多启发，知道原来情绪虽然不能压抑，但是应该让他来让他走，也应当学会臣服。思想，心想事成，都让自己对现在有了很大的变化。从一个悲伤中转换到努力调整中。然后又看了许多书上提到的书和电影，自己越来越清晰。痛苦是自己想来的，现在的生活也是和自己的想法有关，从一个负面到一个正面，虽然还不能灵活应用，但是受益非浅。,1
发热惊人，尤其是夏天  犹如一个火板！ 冬天都可以省去暖手壶的钱了。 黑色就是指纹收集器，哈,0
我们因为相爱而结婚了，随着时间的流逝，为什么相爱的人之间战火纷飞，彼此却又感到委屈呢？俗话说，相爱容易相守难。我们要做些什么，才能使夫妻相处得愉快，渐入佳境呢？读了这本广为相传的书，原来答案就是夫妻双方都要用心去满足对方的需要，当一个人的需要被满足了，他的内心是愉快的幸福的，也会非常乐意来满足你的需要。双方的满足感越强烈，婚姻的幸福度就越高，夫妻关系就会和谐美满。,2
"因為銀行已打烊，身上已沒有人民幣了,但這家店居然不能刷外卡,想先押美金,前台居然不同意,真的是....氣死人了,本來還要我押行李，真不知道押美金比押行李還沒保障嗎？應變能力有夠差的，另外在退房時前台的服務人員態度不佳,所有要我簽名的表單都是用丟的,一點禮貌都沒有,不過週遭的民生機能和交通還算方便就是了补充点评 2008年7月10日 ： 临Τ翴┬丁ず狹﹡礛楞楞",1
电池相当的耐用，键盘手感和大小也很不错，LED屏幕看着舒服，硬盘的传输速度也很快,2
反映忒慢，不管短信，开关机，还是别的，都是，尤其删除短信，能等死我……发短信也有点费劲，按键按的太快有点吃力，短信编长了也会反映迟钝的到家，对于现在手机最主要的功能短信，这个机子用着就太辛苦了……,0
1.基本配置完善－1.6GHZ芯片，1G内存，160G硬盘，1024*600显示，无线网卡，130万象素，3个USB口 2.白色小本造型比较漂亮，女孩子购物考虑时重要的一点 3.电池功能强劲（选择它的最重要的部分，代价是更多的重量），单浏览网页能有6-7小时的使用时间 4.散热真的不错，用了几个小时也不烫,2
1、驱动不好装。 2、快递公司超烂。 3、货没到手就降价了，客服说货物出仓就不能保价了，货到付款的拿到货时可以申请保价（一点都不合理，JD不支持所有地方货到付款，吃亏）,0
我用了两个星期竟然死了死次机。都是在我一边听音乐一边在玩其他功能死的。有时候反应速度很慢。,0
帮朋友买的，自己大致翻阅了一下，自己更喜欢曲黎敏老师写的，不过朋友很喜欢。这本书最大的好处就是有一套人体穴位图,0
中华民族历史悠久，很赞同这样的看法：学成语，是学古文化的一种好的方式。成语里有文学、历史、军事与哲学，小孩子喜欢的是故事、情节，通过对比学习，不仅让孩子听了故事，同时让他们牢牢掌握了一些成语。小的时候我就很喜欢那些出口成章、成语就在嘴边的那些人。长大了就开始通过各种手段自学、或者从别人那里学习。不仅我要学，孩子长大了，也让他学。,2
虽说作者并非专业医务人员，但也算是位医者！本书内容充斥着对自我的吹捧和膨胀，我想这首先不应当是该书的主题和读者所需！本书的浅显易懂是一重大特色，但它本身就存在一个重大的隐患--没有顾及到所涉及到的读者本身体质、地区气候、习惯等方面的不同，用单一的模式来解决所有的问题，显然是不可取的！本书因为当当的推荐排行，我进行了购买，但翻阅没多久，至少是我本人对其的表述无法苟同，希望作者作为医者，在浅显易懂，易于读者理解掌握的前提下，少点对自我的褒扬的同时也不忘对其差异性及基础性知识的传扬，以便读者能正确、方便来掌握其中对自己有益的知识。不会因失之毫厘，谬以千里，我想这应该也是作者的初衷才对！,1
1、虽然听MP3时可以看歌词，但关了背景灯，就看不到歌词。如显示歌词时，背景灯自动改为一直亮着，返回又变为正常就好了。2、通讯簿在按群组查找的时候，不能按首字母查找，并且在用查找功能时不能按名字的首字母来查找，必须输入整个汉字，此为不爽。如能改为全智能查找，就完美了。3、数据线太短了，如果没有前置USB，使用起来真是太不方便了，而且使用起来经常会不小心用力过大，时间长了有损坏的危险。如能再长一倍就好了。4、行事历不能与MicrosoftOutlook同步，如能与outlook同步，并增加未完成工作清单查询，就更好用了。5、OK键不能直接转到其他文件来，即使只是进入短信主菜单也是比现在更好用。6、短信发送时不能智能选择发送对象，当电话记录多的时候，使用起来非常不方便，强烈要求改成全智能查找。7、通讯簿只能分七个群组，如能按自己需要随意增加就更好了。,1
蒙牛倒闭吧。,0
总是Thinkpad系列的，系统的稳定性比较好，散热也做得不错，VISTA界面很漂亮。,2
"我不懂电脑,不过朋友都说性格比好!而且外观不错,比较轻便.键盘比较接近台式的,用着舒服!从广州发货到广西,第四天就送到手了,蛮快的!",2
非常一般的酒店，完全不够4星的级别，到了才发现酒店外观和照片相差很远，不是很大。大堂很土，房间很冷，那天正好赶上下雨，入住的时候窗帘上拉上的，睡到半夜被冻醒了，早上起来才发现，原来窗户是开着的，为什么服务员不把窗户关上呢，也许是我太粗心了。洗澡的地方也不好，淋浴房很小，都伸展不开。床上的用品也很差，被子也薄。楼上的餐厅超贵，一个西红柿炒蛋要28还是38，刀磨的是相当的快呀！下次不会住了，太差了！,0
投诉内容： 2009-5-22收到一张发票号码：02840189(上面写着订单号：4491950）金额为：8591元，但是实际上4月9号订单号：4491950 金额应该是：11808元，这样的财务水准是不是有点问题？？？？？？？？？？现在汇款（货款）金额与发票金额不符财务没用办法入账？？？？？？？？？？？？？,1
上个月住了一天。前台订房时说好了是大床房，198元，2321号房，进去发现是双人标间，回前台，改到3101号房，是大床房，前台人员亲手填了换房单，注明所换房间和房价，为188元，并要我签了字，但并未给我这个单子。第二天结帐要208元，我说不是换房单把价钱写得很清楚了吗，他们矢口否认，我要他们拿出叫我签了字的换房单，他们推说没有了。而最早的入住单子（2321号房）上的房价的198元被划掉改成了208元。他们的骗人态度到是练得很好，无论我怎么着急他们也是态度平和的耍赖。我要敢时间，只好交钱走人。只能说，这家店为了区区20元真是手段高明。至于房间质量，很一般，只是地理位置在重庆可能算是不错的，但绝对不推荐入住，如果一定要住，请多加小心，保留好一切证据，尤其是要签字的东西，他们是不会为你保存的，自己要多留心。,1
"性价比非常好的酒店，房间设施超好，卫生间分了3个部分，淋浴房，卫生间，化妆间，非常干净，装修很有欧式风格，枕头舒服，床也大,服務態度也不錯,商務房還配電腦,下次還來!",2
1.屏幕，采用的是6.5万色的STN，由于点距小，所以表现相当出色，非常细腻，亮度也不错，白天在外面依然看得很清楚。因为下雨所以没有在太阳下看。2.铃声，采用的是40和铉，声音挺大，在人多的地方和车上也可以听的到。4.外屏，屏幕不大，但可以显示时间，日期，信号，电磁容量。来电时可以完全显示号码。并且有2个外屏游戏。蓝色背景灯。5.功能，在待机图片里有动画和平面图和时间图，效果都不错，大概有10来张。铃声有多种选折，且效果都不错，重点是够响哦，大概有30首左右。菜单方面挺人性化，功能也比较齐全。6.速度，这点很总要，看过大显3100速度超慢，这款表现还不错，处理的挺快。没有停滞现象。,1
质量还不错，内容只适合边上厕所便消遣了,0
在蒙牛大果粒里加点葡萄干和核桃仁…吃起来不错…,2
书上写的大多数都是大道理。。。不看也明白的那些。。。。,0
"价格比市场上要便宜300左右,外观大气,颜色大气,比较商务,我喜欢. 关于大家说的驱动问题,可以在惠普官方网站上找到,我1个小时就搞定换成XP系统了:",2
开机时和关机以后风扇声音很大， 没有系统和驱动盘，要是能一步到位就好了。,0
儿子六岁。爱看书，这是送给他的六一礼物。中午，看着动画片。我说，妈妈给你买了本书，放在他怀里，走开。他瞟了一眼，再看电视。再瞟一眼，再也没有放下。整整一周，出门吃个饭也带着。着迷一般。看了一遍再来一遍。我发现，孩子看书他并没有全部都领悟，但他照样可以乐趣无穷。他有他六岁与众不同的理解。这可是我高中才接触的东东哦。,1
屏幕分辨率小了点，尤其是1024*600的这个600，用一段时间会发现不方便。另外确实如很多人评价的一点，运行东西稍微多点，就卡。,0
"伟大领袖毛主席早以对孔孟之道思想作过批判,几千年来对广大的民众毒害之深.毛主席作出了名确的定论.对发展现代化的中国没有一点帮助.国人应彻底抛去之.",0
收到这本书后，又一鼓作气的看了一遍，现在放在床头，时不时还会在翻阅几页，里面的每个小情节都会给自己带来好心情。。。,2
一般般而已没看出有什么哲理呀?失望ING...............,0
"不错的酒店,性价比可以.交通方便,公司很多客人选择这里.",2
"怎么当当的东西都是在我买了后就降价呢?刚买了U盘到货了,想上去写评论的,又看见降价.现在看买的东西又在降价.晕死!当当,价格也太不稳了吧!",0
南怀瑾的《庄子諵哗》，“一真一切真”南怀瑾的《庄子諵哗》，前几日在下偶然读之，叹为绝世稀有，是难得一见的、对庄子一书真正彻入真如境界的讲解。近代中国，乃至于老庄以来2000多年，全世界也只有南怀瑾大师，才能讲出这样融会贯通儒释道三教为一体、“一真一切真”境界的讲解。读到最后一章《应帝王》，我已经深信：南怀瑾大师已经不容置疑地、千真万确地证明了，与老庄几乎同时代的释迦牟尼佛传佛教到东土之前，中国已经有彻底的大道正法（完全等同于佛法的），而且已经式微。怎么回事？难道仅仅是巧合？——非也。中国的老庄孔颜，佛门有说，都是佛陀遣尊者幻化到中土的。如不然，老庄之道也有可能乃是传自于更古老的古佛，年代久远，已无佛教标签，假名以“道”、“真人”而已。不一定非得来自释迦佛。《楞严经》也整理出来了大量释迦佛以前的古佛说的真法，如借大势至菩萨之口，讲了更早的“超日月光佛”讲的“念佛三昧法门”（见大势至菩萨念佛圆通章）。《楞严经》就讲末法时期，最后佛法式微，连“佛”字也难闻到，所言不是异曲同工？正因为古佛所传真法已经式微，才感应得本师释迦牟尼大发慈悲，从三昧中起，重新为世人证悟，又讲出完整的佛法，传遍世界。到20世纪，经南怀瑾大师融会贯通，识别出老庄孔、儒释道三教原本真如的面目。乃知三教原是金刚石的一体三面，从金刚顶端一看，惊呼是一不是三。无上甚深微妙法，百千万劫难遭遇。望善根深厚的识者珍惜之！,2
酒店的位置还比较方便，但是过于嘈杂，酒店的设施也太陈旧，大床和标准床无太大区别。,1
这本书从制作上面来说是无懈可击的，印刷精美，厚厚一本才二十多块钱！可以作为风水的入门书籍，对风水学的基本原理和各家风水学说的状况有一个初步映像。但要深入必须挑选一个门派的专业的书籍做专门的研究，毕竟风水是分流派的，不可能像个大杂烩！各家各派的观点有时候是互相矛盾的，只有在精通一家风水学说的前提下才能去取长补短，不过到那个时候就已经是大师的境界了，呵呵！,1
胡兰成回忆张爱玲的片段， 其用情远不及他跟小周（一个比他笑22岁的小护士）的情事。张爱玲只管要他叫一声“爱玲”，或问一句“你的人是真的么？你和我这样在一起是真的么？”就会弄得他“很僵”；而在小周面前，胡却要硬逼着她说“爱他”！其用情深浅可见一斑。我不敢冒冒然的来个一刀切，像有人说的，张于胡只是一尊观音，对观音是没有爱情可言的。张要胡在她与小周之间作选择，胡竟说他与她是仙境之爱，而和小周是俗世间的爱， 没得比。所谓的仙境之爱，应该就是精神恋爱吧？想必胡兰成是无法自圆其说的。这个他也是承认了的，却是“思省了一大通”，干脆“不求其解”了。真是一个自私透顶的人！然在我看来，他对爱玲的感情，是一种几近崇拜的欣赏，倒是真的。“世上但凡有一句话，一件事是关于张爱玲的，便皆成为好”。凡是他所做的所写的，都为的从爱玲受记，像唐僧取经，一一向观音菩萨报销。他不懂古典音乐，却因着贝多芬有着“乐圣”的光坏，就天天刻苦开来听，努力要使自己懂得它为止。却不想爱玲并不喜钢琴，这让胡“爽然若失”。要说爱玲是个天才，那胡就是个后天才（后天苦练出来的才子）。胡于女人，与其说是爱，毋宁说是知。却是这个“知”，害得伊人们“断肠在天涯”！对爱情，他是万花丛中过，片叶不沾衣；江弱水先生说的真是好，胡对女性，“情虽不伪，却也不专”。他要的是“此时语意得人意，此时歌舞动人情”。这种境界，谁人能及？ 相识以来，胡便要和爱玲“斗”，斗才气，斗天分，自觉“像生手拉胡琴”，总被她给比下去。可到了爱情，我想，是不用比，张爱玲注定是要输的了。,1
还记得我是7岁上学，学字时读的是刀弓车舟。而今我女儿4岁上学，读的是我爱地球。我们识字，我们识数。小学时读自然，中学时读历史。而今回头看看，发现历史知识来源于古装电视剧，大学毕业时已经不记得肝和胃的位置。随着物质文明的发展，我们开始全盘西化，对于中国的古典文化不求甚解。我们自己遗忘了历史。三字经能全文背诵者在我周围寥寥无几。就这样一本古时的启蒙书籍看似简单却又藏着多少知识呢？通过钱文忠教授的话语可见一斑。我们这一代人已经存在的缺失不能再在新一代人身上出现了。中国的强大不是经济发展就可以解决的问题。,2
文字加图的形式，开本很大，字和图都很大，图画得也很好，看得出来编辑对本这套书是下了功夫的，内容也非常好，读起来很有意思，很温馨，感受得到德国的田园浪漫的气氛，很舒服，我是非常喜欢的：只有经得住暴风雪考验的友谊才是真正的友谊，他们喜欢启明星，我儿子喜欢月亮，孩子的心理都住着一个梦想，对于月亮和星星，他们是那么喜欢，和他们总在一起，我也觉得月亮出来了很美！还没读完，继续吧！,2
外观比想象的好，各个借口位置设计比较合理。笔记本刚好够用，紧急实惠。 声音散热比较小。,2
"设施还将就,但服务是相当的不到位,休息了一个晚上我白天出去,中午回来的时候居然房间都没有整理,尽管我挂了要求整理房间的牌子.",1
"书的内容很好,我在之前给我女儿买一套,女儿很喜欢.也因些快过六一了,也想送给老师家孩子一套.我自己买的时候与些次购买间隔不足半月,但是那次就可以快递送货,货到付款,可是此次,是要先付款,还要平邮过来,这样时间上就比上次多用去了一周的时间,足足用11天才收到货.收到货后,更加失望,本来是好好的塑料簿膜全都损坏,16开的一套四本书还是折叠着的,书打开后即有损坏,书面还有折断的痕迹,这样的书让我如何送人,我家孩子的书因为经常看,也已经不能带替送人了.收到这样的货,看到这样的服务,太让人失望了,我已经在当当多次购书,快递收到的书都很满意,这次,想送人的书,反让我很为难,很生气.我希望当当的服务能不能正常一下,不要变来变去,如果还是平邮的话,我是不在买你们的书了.同期还购买了神奇的校车,书的外皮损坏,但没有折痕,比那套书的外观要好一些.",1
这本书是帮我的同事买的，到书的时候，我也翻了一下。书的画面色彩鲜艳，而且很详细的画出了某些细节部分，比如翠鸟嘴部等。据同事说，有些小小的遗憾地是：作为亲子阅读，文字部分，趣味性不够，对于三岁的小宝宝来说，需要单独解释的地方较多。因此，这套书适合较大的宝宝。当然，如果您的宝宝对植物，动物感兴趣，又初步了解一些这方面的信息，那这套书是再好不过了。非常欣赏书里的图画，细腻，传神。,2
能斗好强的个性让人不是那么舒服。个人不太喜欢。如果人人都要以这个为榜样，那职场就变得太可怕了。,0
发热比较大 独显估计都这样  驱动太多了 很多用不上 比如拿摄像头当相机和DV那个纯属扯淡。。。,0
没有预装主流的VISTA系统或XP，用起来比较麻烦，对于新手来说，重新安装系统是件比较痛苦的事情，也没有主流本本的摄像头，做工只能说是一般，,0
"岛上没有像样的宾馆，这家马马虎虎过得去。硬件设施很差，没有暖气，最多只能算1+。免费注册 网站导航 宾馆索引 服务说明 关于携程 诚聘英才 代理合作 广告业务 联系我们Copyright?1999-2008, ctrip.com. all rights reserved.",0
"因为工作关系,每个月都会去住.在金华市区400左右是最好的选择.服务很好,早餐很好,离市中心也很近.360的标间装修风格稍旧但仍然整洁干净.强烈推荐.前台服务每次给我感觉都很好,表扬.",1
使用N73一个多月了，谈谈感受。我的N73是新加坡版的，记得买机那天，早就联系好的卖家先给我一个欧版的，被我坚决推掉，后来到天快黑了他才打电话给我说找到一个亚太版的，呵呵，看来亚太版的比较难找啊。记得第二天我又陪我一个朋友去那家买n72，仍然是只有欧版，无亚太版，n72最终也泡汤了。所以提醒所有准备入手亚太版的老大得多点耐心。1、外观：首先需要澄清的是，N73的气质还是继承了N70的大气和力量感，我用的前面银色后面黑紫色，不知道白色的给人感觉如何。从发布到现在一直都有人在议论N73怎么像索爱的风格，如果只看图片的确如此，但是你手上拿着真机也许就不那么说了。背面磨沙处理的材质容易沾上指纹，因为难保手上总有点汗啊什么的，背面得软磨沙质地也比较容易有小的划痕，正面按键银色部分也容易有指纹，只有数字键好一些，当然这些都不是重点。2、屏幕铃声：屏幕绝对一流，直板机少有的2.4寸大屏幕，表现力强悍就不提了。铃声就众说纷纭了，我觉得还是很不错了，跟具体使用格式和音乐质量有关系，声音大是肯定的。3D铃声试了两下没搞出什么明堂，用MP3剪切软件搞了几个喜欢的歌的音乐部分做铃声，超酷（自我感觉）。对于壁纸不能全屏我觉得还是有道理的，因为屏幕的最上面部分试显示电量、信号、时间等等的，如果壁纸延伸到这个区域恐怕也会被这些东西遮住影响整体感，同时如果偏好全屏也可以自己做主题。随便搞比例为正方形的图片，分辨率不限制，就可以将图片部分全屏为壁纸了。3、MP3效果及拍照效果：个人感觉MP3效果中规中矩，效果也不能算差，但是也无出彩之处，搞了个耳机转接头插上我的森海塞尔MX400（这个耳机并不是很好）感觉效果还不如原装的耳机好，所以如果想换耳机来提高音质，则耳机得慎重考虑了。拍照效果就不多说了，白天不错，晚间很差，和网上得一些评测很吻合。,1
这个酒店是我住过的国内四星级酒店里最差的一间，服务态度和质量都很差，房间很小，早餐连点肉都没有，9：00结束，8：00到的，基本就没有吃的了，而且服务员也不给加！也许是因为旅游景点的问题，但是我们住过附近其他的三星级酒店，各方面都比这家好，价格还能便宜100多，建议千万别住！酒店里有一家公安局在办公，所以大部分都是公安局的客户什么的，所以对普通百姓的服务很差，墙壁隔音设计很差，因此很早就显得很嘈杂，根本没法休息！,1
配置均衡，性能强劲，做工精致，散热良好。配件丰富。其中还有一个Dell原装的鼠标垫。同事很满意。,2
"我是一个在教育孩子上时常感觉到困难的母亲,儿子今年五岁,我在一些与儿子沟通协商等日常问题的处理上,感觉自己快要陷入发疯的境地.还好，看到了这本书．书里的语言很简洁易懂，多幅图片示例，让作者的想法更容易得到理解．感觉作者的思想的关键就是关注和尊重孩子的情绪，而且一些具体的场景设置和分析都很有道理．已经买过一本了，这本是送给朋友的．希望所有的父母都读一下此书，大家共同进步．",2
"<<公平定律>>这本书的质量太差了不是正版书,而且又不提供发票",0
"携带方便,俺不爱好打大型游戏,临时办公上网看电影够用了,外出时带上,回家后外接23.6寸显示器光驱,上网看电影DVD用起来超爽,便宜实惠,总费用才三千二百多,比起三千多的本本就是好.",2
机器的上盖外表面是钢琴烤漆的，名副其实的指纹收集器，看来要弄个膜贴上！Vista的系统，比XP慢一些，但2G的内存，速度总体上来说还行！开机的时候光驱会响几下！只有一个纸箱子，只有一个C盘，不会分区！,1
过于厚重，当然也可能是我预期的太轻了。发热量较大。另外莫名奇妙的是发票上的质保是“无”，介绍是1年。3包卡上是2年，严重不统一。,0
HP网上提供的SATA驱动根本装不上，从inf文件安装后，还是切换不到ACHI模式。BIOS刷新后，BIOS设置时，鼠标乱跳，极难操作。,0
世界上最差的售后服务，刚买了坏了也不给修好！,2
"蒙牛,太恶劣了!抵制!",0
林汐算是《最小说》上比较喜欢旳一个作者了。同样。《迷失界限的旅途》并没有让我失望。最感动旳昰故事结尾旳那句“再见”。再见。程介。再见。加井。加井始终认为自己是不属于那个世界旳吧。所以才会选择离开。选择继续回到自己旳世界。始终没有办法让自己先看着程介离开呢。看到加井离开。突然觉得什么都值得了。她只不过昰回到了自己旳世界而已。只昰回去了而已。,2
"位置比较怪,旁边是个菜市场,味道就...到达的时候下雨,所以前台有点混乱,等了10分钟左右,态度倒还好,房间蛮好,舒服.就是走廊的味道是我对这家店的印象降到底了,套",0
本书写得实在不怎样，实用性不强，趣味性太差,0
替朋友买的，这个的设计很方便，外观不落俗套，主要性价比值的了。,2
京东的价格保护不好用，有很多限制条件，下了订单的第二天就降了100，咨询了客服说是可以申请价保，但是提货时却告知因为赠品不一样不能申请价保，所以多花100很郁闷。 装XP很…………费劲！,1
我定了七本书，有一套明朝那些事，书好不容易收到了，但只有一本朱元璋卷是我订的，其他的乱七八糟的六本书不知道怎么就给我寄过来了， 打电话过去一个劲的忙啊。  强烈抗议。真不知道这事该怎么处理。,1
听筒音量太小，户外看不清屏幕．内存太小．不支持存储卡．,0
1 感觉外观还可以，符合我的要求，体积虽不算小，但比它大的翻盖手机还是很多的。2 比一张IC卡比较要小，厚度也还可以。键盘很漂亮，按键键盘面是平的，屏幕一般不会碰到按键，设计的很好。3 。。。一堆呢，不说了,1
语言空洞，情节太离谱，没有感觉到震撼，只觉得这个人太倒霉了，也没有什么可以发掘的内涵，觉得整本书写得精彩点的部分的可能就是序了,0
听说你很爱喝蒙牛。所以转给你 这都被你发现了,2
没有操作说明书，摄像头让我一番好找； 最后还是不能ghost，试过很多方法，不知道是sis芯片组问题还是其他原因，等待高手！,0
看这本书~我哭了8次~就连自己也觉得好不可思议~同学说我疯了~但是~当我的同学看了~也哭了~~这本书~真的太伤感了！~有没有仰望过这样的蓝天，蓝色是调色板上不曾调配出的颜色，通透如不含杂质的水晶，阳光从头顶直射下来，将光笼罩于全身。此刻，带着光的人并非圣洁的天使，象征着爱于纯洁，享受着健康与自由，那光更像是一种利器，迅速的穿破头顶最脆弱的表层，直入心脏，贯穿五脏六腑，随着血液遍及全身，然后化作一团熊熊烈火，蔓延开来，它驻足在人身体的每个角落，想要快速奔走甩掉它，却燃得更烈更旺，它就像传说中的毒药，身体越兴奋就容易毒发身亡。于是只能静静地、静静地等待命运的宣判。我逆人潮而行，逆时光而行，人们还沉浸在睡梦中的时候我就去看朝阳，看着那火红的圆盘一点一点地升起来，天幕因它的苏醒变得更加通透、清澈，直到它化作可以射破所有双眼的光芒。我回去的时候，人潮开始踊动，像是出巢的蜂飞去各自的方向，寻找那盛开花丛。我逆蜂群而行，像一只早起飞倦的燕，依恋我最初温暖的巢穴。我说我从来不喜欢悲剧，不喜欢听悲伤的故事，但是你导演的悲剧我从来都看，你讲的悲伤的故事我听得比谁都认真。因为我就是阳光下的孩子，一直微笑着看着蓝天，享受着阳光，却永远也不知道我就是你故事里女主角。你一直坐在离我不远我却看不到的地方，头顶上也是这片阳光，微笑着悲伤地写着你的故事。北风帮你把它送到很远很远的地方，我手里也握着一份，你看你听见的，是否还有当时的悲伤。阳光不知道什么时候离开了地平线，夕阳西下这千古不变的定律，冰冷教室的灯管显得越发明亮。我才意识到，太阳最后一刻沉下地平线时，带来的温暖是多么的温柔。我为自己遗憾没有享受这种温柔，像冰人一样呆坐教室里，而这个教室无疑是一座更大冰窟，我的眼泪凝固在脸颊。是不是疲惫的蜂，到了夜间就要返巢，而经过修整的燕又要起飞了呢？我的皮靴砸在地面上，跟着的是一强一弱的节奏，有如闷雷般响声，旁边一个女孩子高跟鞋清脆的和着，她看着我从已经坐满人的教室中走出去，而我却无暇顾及她的目光，究竟还有多少目光是我无暇顾及的呢？一步步走向扑面而来的黑色，晚风像汹涌的潮扑面而来，让人毫无防备的打着冷颤。一步步挪向无边无际的黑色，呛水一般，耳朵、鼻子、嘴巴都无法倾吐。将人牢牢捆绑在无尽的悲伤，分不清是水还是泪。,1
于丹口才超群，书写得很时尚但很肤浅。虽然我看不懂真正的论语但我不信老先哲的本意如此肤浅！,1
"最喜欢饮酸奶,卡士优益C 畅优蒙牛内蒙古老酸奶燕塘纯白酸奶…",2
BS，坚决不喝蒙牛 鄙视你，不喝蒙牛会死啊!,0
四个字，“糟糕透顶”。我是晚上十一点过入住的。首先是交通的不便利，到酒店必须走三峡大坝的专用高速路，同时还要到路过的几个武警“拦截站”停车检查专用的通行证。即使出示了酒店的证件也要被当兵的盘问很久，由于带着孩子心里很不爽。酒店安排专门为我们送通行证的接待人员还要我们开车到家里去接，办完手续后还要求送其回家。折腾半天下来已经快凌晨一点才到酒店。总台值班服务员的态度更加糟糕，没有笑脸就不说了，对?,0
象一部小说一样写着拉拉的经历，很有意思,0
usb接口太少了，而且都在左侧。 用时间长了键盘很热，但是运行稳定。 装ghost系统，会死机，要从官网下载网卡驱动。 内存只有1g。官网上的xp的驱动做的太烂了，摄像头到现在都没装上。,1
外观很有特点，长城外观，显然白天为了省电，大堂不开灯。。。似乎感觉上入住的人数有点少，另外就是入住手续有点意思，开什么入住通知书等等。。。,2
By the way .我希望，电视剧拍出来一定要好。演员选择很重要。千万不要像《会有天使替我爱你》一样，看书看得我很感动，电视拍出来只想骂。我祈祷。,2
我是在儿子三岁时买的这套 书，儿子很喜欢。,0
我用了两口气，把这本书读完，牺牲了午夜以后的2小时和午睡的一个多小时。对书中职场技巧和感悟，似乎没什么印象，反而是市场部的工作让我充满了好奇。还有，让我这两天一直在思考的一个问题，也就是我都有哪些梦想，显得更加需要思考了。然后，还想，啊，自己年轻的时候怎么不知道北大有这么好，否则使出吃奶的劲也要考上。和米娅比起来，原来我的朋友，女友，这么少。,2
总体来说，还不错。老酒店，是当地最好的之一。挺干净的。餐厅也不错。缺点是离五指山景区太远（有40KM左右，1个多小时车程）。真的要在五指山玩，还是需要选择住在景区附近。,2
"CBD中心,周围没什么店铺,说5星有点勉强.不知道为什么卫生间没有电吹风",2
一本感觉在自吹自擂的书 ..就是觉得不值得花这钱 宁愿买点健康杂志来的真诚点,0
在机场第一次看到这本书 因为包装什么的都很喜欢所以来买了结果发现不值给喜欢读小说的奶奶阅读，她说，就是讲她们那个时候的事情，都看不下去。,0
并没有评论说的那么好．很一般，文字的感觉不好，没有反映出那个年代独有的美感．,0
做了个披萨饼，真的是饼…只有蒙牛捧场偶尔吃一口。我每天起床把它配上豆浆一起吃，很有中西结合的韵味，也很有对自己涉足西方料理界的质疑,2
第一次给笑笑读《汤姆走丢了》时，小家伙听的非常入迷。当看到在商场里走丢了的汤姆，终于找到妈妈，并和妈妈拥抱的时候，笑笑也动容地从座位上站起来，抱抱我。我能感到，她一直跟着汤姆的情绪在变化着，我也能感到她非常害怕和妈妈走丢，并且觉得和妈妈在一起非常踏实。这是一本以第一人称写的书，书里详细的描写了汤姆在和妈妈走丢后，在寻找过程中的心路历程。非常好的一本书。,2
忘了加上一点：这本书的作者脑子有问题，胡言乱语一通，看看书的语言就可看出作者白痴一个。可笑的是里面引用了很多经书，好像是编辑加上去的。强烈建议将作者绳之以法，将不负责任的这家出版社直接国家接管，太害人了，伪科学的典型。,0
看到了书，首先感觉内容杂乱，一开始好几页互相吹捧的话，然后好几十页废话，接下去一会儿谈谈这个、一会儿谈谈那个，还偏要按个标题，把每段里面的话重写一边，浪费纸张，（如果要着重表示完全可以用黑体加粗印刷），人为增加篇幅，增加页数，提高定价。内容也不实用，感觉上当了。,0
